college,kmedian,parmedian,public,private,ivyplus,otherelite,hselective,selective,northeast,midwest,west,pctfemale,pctmarried
California Polytechnic State University,65500,124800,1,0,0,0,0,1,0,0,1,46.565855,63.291138
"California State Polytechnic University, Pomona",55100,80200,1,0,0,0,0,1,0,0,1,42.013362,50.76192
California State University - Sacramento,47900,88700,1,0,0,0,0,1,0,0,1,58.687133,57.990736
"California State University, Bakersfield",46100,67700,1,0,0,0,0,1,0,0,1,64.312041,61.722022
"California State University, Chico",48700,112200,1,0,0,0,0,1,0,0,1,56.964475,60.270417
"California State University, Dominguez Hills",40300,45600,1,0,0,0,0,1,0,0,1,69.71935,34.141997
"California State University, East Bay",51300,86000,1,0,0,0,0,1,0,0,1,65.980864,53.623867
"California State University, Fresno",44400,72400,1,0,0,0,0,1,0,0,1,60.37432,59.193456
"California State University, Fullerton",47800,83300,1,0,0,0,0,1,0,0,1,61.668068,53.429401
"California State University, Long Beach",48800,85800,1,0,0,0,0,1,0,0,1,64.032125,51.371813
"California State University, Los Angeles",43000,36600,1,0,0,0,0,1,0,0,1,62.447017,39.761055
"California State University, Monterey Bay",41100,93200,1,0,0,0,0,1,0,0,1,58.884299,50.071526
"California State University, Northridge",44100,61100,1,0,0,0,0,1,0,0,1,58.629012,45.996237
"California State University, San Bernardino",43500,69800,1,0,0,0,0,1,0,0,1,64.688855,53.637075
"California State University, San Marcos",44400,93600,1,0,0,0,0,1,0,0,1,61.340606,61.089116
"California State University, Stanislaus",44800,72300,1,0,0,0,0,1,0,0,1,66.887784,63.860941
California University Of Pennsylvania,38500,73800,1,0,0,0,0,1,1,0,0,51.052445,60.840291
Calvin College,45900,111500,0,1,0,0,0,1,0,1,0,56.354451,81.562275
Cameron University,32800,56400,1,0,0,0,0,1,0,0,0,53.039598,55.942601
Campbell University,42700,69900,0,1,0,0,0,1,0,0,0,42.536232,59.491992
Campbellsville University,35100,68100,0,1,0,0,0,1,0,0,0,52.857143,70.021641
Canisius College,50900,94200,0,1,0,0,0,1,1,0,0,51.96529,58.797967
Capital University,44000,84100,0,1,0,0,0,1,0,1,0,59.396917,64.336526
Cardinal Stritch University,39100,88400,0,1,0,0,0,1,0,1,0,73.815459,55.637735
Carleton College,51700,152000,0,1,0,1,0,0,0,1,0,52.481753,56.59492
Carlow University,37900,66100,0,1,0,0,0,1,1,0,0,95.319152,57.778484
Carnegie Mellon University,78400,134400,0,1,0,1,0,0,1,0,0,38.55198,54.4034
Carroll College,47800,89700,0,1,0,0,0,1,0,0,1,59.597808,65.444183
Carroll University,43300,95000,0,1,0,0,0,1,0,1,0,66.409862,65.760481
Carson - Newman University,36300,79100,0,1,0,0,0,1,0,0,0,55.6701,71.554041
Carthage College,47500,101600,0,1,0,0,0,1,0,1,0,54.138702,65.185201
Case Western Reserve University,73400,118200,0,1,0,1,0,0,0,1,0,38.777414,62.533736
Catawba College,42000,94000,0,1,0,0,0,1,0,0,0,51.546389,58.018452
Catholic University Of America ,57700,133000,0,1,0,0,0,1,0,0,0,53.467155,59.243506
Cazenovia College,28800,64200,0,1,0,0,0,1,1,0,0,71.875,49.504784
Cedarville University,37600,99500,0,1,0,0,0,1,0,1,0,54.532903,79.368979
Centenary College,35200,94300,0,1,0,0,0,1,1,0,0,71.608043,52.12599
Centenary College Of Louisiana,45400,100300,0,1,0,0,0,1,0,0,0,61.896551,63.157952
Central College,44200,87700,0,1,0,0,0,1,0,1,0,59.307766,75.761187
Central Connecticut State University,46600,93300,1,0,0,0,0,1,1,0,0,49.430364,52.908772
Central Methodist University,36200,66000,0,1,0,0,0,1,0,1,0,51.215279,66.388357
Central Michigan University,42400,98300,1,0,0,0,0,1,0,1,0,60.200667,64.899361
Central Penn College,28000,66800,0,0,0,0,0,0,1,0,0,77.793103,62.044829
Central State University,25200,40300,1,0,0,0,0,1,0,1,0,54.010028,19.629507
Central Washington University,45000,97100,1,0,0,0,0,1,0,0,1,53.757709,63.380742
Centralia College,29300,66300,1,0,0,0,0,1,0,0,1,52.451706,51.344478
Centre College Of Kentucky,49400,111000,0,1,0,0,1,0,0,0,0,55.000001,68.40238
Chadron State College,38600,68100,1,0,0,0,0,1,0,1,0,54.812098,68.929827
Chaminade University Of Honolulu,38100,66600,0,1,0,0,0,1,0,0,1,54.171705,50.743365
Champlain College,39200,85200,0,1,0,0,0,1,1,0,0,53.256702,55.183423
Chapman University,47900,109600,0,1,0,0,1,0,0,0,1,57.103372,56.117231
Charleston Southern University,36900,70500,0,1,0,0,0,1,0,0,0,63.722825,58.523548
Chatham University,31800,71200,0,1,0,0,0,1,1,0,0,98.666668,51.998746
Chestnut Hill College,38900,76600,0,1,0,0,0,1,1,0,0,83.625734,43.626398
Cheyney University Of Pennsylvania,26500,38600,1,0,0,0,0,1,1,0,0,49.706745,12.473197
Chicago State University,31900,43700,1,0,0,0,0,1,0,1,0,71.143085,17.575735
Chipola College,32000,51800,1,0,0,0,0,1,0,0,0,51.313484,49.437055
Christian Brothers University,52000,97600,0,1,0,0,0,1,0,0,0,49.784791,57.391977
Christopher Newport University,41300,92500,1,0,0,0,0,1,0,0,0,59.299958,60.644472
Cincinnati Christian University,30100,74400,0,1,0,0,0,0,0,1,0,49.321267,84.5846
"Citadel, The Military College Of South Carolina",62800,106800,1,0,0,0,0,1,0,0,0,5.358436,66.932344
City College Of New York - CUNY,48500,35500,1,0,0,0,0,1,1,0,0,47.223812,38.075513
Claflin University,33600,35400,0,1,0,0,0,1,0,0,0,66.911763,24.522418
Claremont Mckenna College,69900,142000,0,1,0,1,0,0,0,0,1,46.992481,57.537639
Clarion University Of Pennsylvania,38100,75500,1,0,0,0,0,1,1,0,0,61.34454,62.836319
Clark Atlanta University,35200,54500,0,1,0,0,0,1,0,0,0,71.659267,19.444919
Clark University,49600,103000,0,1,0,0,1,0,1,0,0,61.378205,51.991743
Clarke University,45100,75700,0,1,0,0,0,1,0,1,0,72.812498,71.658003
